Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
10001,Avalon,Alexander Tilley,Parti Rhinocéros Party,230
10001,Avalon,Judy Vanta,NDP-New Democratic Party,2284
10001,Avalon,Paul Connors,Liberal,27563
10001,Avalon,Steve Kent,Conservative,16953
10002,Cape Spear,Brenda Walsh,NDP-New Democratic Party,2446
10002,Cape Spear,Corey Curtis,Conservative,11844
10002,Cape Spear,Kaelem Tingate,Green Party,140
10002,Cape Spear,Mike Peach,Animal Protection Party,170
10002,Cape Spear,Tom Osborne,Liberal,31388
10003,Central Newfoundland,Clifford Small,Conservative,21975
10003,Central Newfoundland,Darian Vincent,NDP-New Democratic Party,965
10003,Central Newfoundland,Lynette Powell,Liberal,17696
10004,Labrador,Ella Wallace,Conservative,4709
10004,Labrador,Marius Normore,NDP-New Democratic Party,764
10004,Labrador,Philip Earle,Liberal,5811
10005,Long Range Mountains,Carol Anstey,Conservative,23232
10005,Long Range Mountains,Don Bradshaw,Liberal,19726
10005,Long Range Mountains,Pamela Geiger,People's Party - PPC,537
10005,Long Range Mountains,Robbie Coles,Independent,637
10005,Long Range Mountains,Sarah Parsons,NDP-New Democratic Party,2011
10006,St. John's East,David Brazil,Conservative,11941
10006,St. John's East,Joanne Thompson,Liberal,28681
10006,St. John's East,Mary Shortall,NDP-New Democratic Party,5172
10006,St. John's East,Otis Crandell,Green Party,159
10006,St. John's East,Samuel Crête,Communist,98
10007,Terra Nova--The Peninsulas,Anthony Germain,Liberal,19593
10007,Terra Nova--The Peninsulas,Jonathan Rowe,Conservative,19605
10007,Terra Nova--The Peninsulas,Liam Ryan,NDP-New Democratic Party,1677
11001,Cardigan,Adam Harding,People's Party - PPC,180
11001,Cardigan,James Aylward,Conservative,9442
11001,Cardigan,Kent MacDonald,Liberal,14404
11001,Cardigan,Lynne Thiele,NDP-New Democratic Party,505
11001,Cardigan,Maria Rodriguez,Green Party,326
11001,Cardigan,Wayne Phelan,Independent,404
11002,Charlottetown,Daniel Cousins,Green Party,257
11002,Charlottetown,Joe Byrne,NDP-New Democratic Party,906
11002,Charlottetown,Natalie Jameson,Conservative,6139
11002,Charlottetown,Robert Lucas,People's Party - PPC,131
11002,Charlottetown,Sean Casey,Liberal,13656
11003,Egmont,Bobby Morrissey,Liberal,12466
11003,Egmont,Carol Rybinski,NDP-New Democratic Party,585
11003,Egmont,Logan McLellan,Conservative,10419
11003,Egmont,Ranald MacFarlane,Green Party,538
11004,Malpeque,Anna Keenan,Green Party,1049
11004,Malpeque,Cassie Mackay,NDP-New Democratic Party,371
11004,Malpeque,Heath MacDonald,Liberal,15485
11004,Malpeque,Hilda Baughan,People's Party - PPC,132
11004,Malpeque,Jamie Fox,Conservative,9846
12001,Acadie--Annapolis,Chris d'Entremont,Conservative,23024
12001,Acadie--Annapolis,Ingrid Deon,NDP-New Democratic Party,1768
12001,Acadie--Annapolis,James Strange,People's Party - PPC,432
12001,Acadie--Annapolis,Matthew Piggott,Green Party,583
12001,Acadie--Annapolis,Ronnie LeBlanc,Liberal,22491
12002,Cape Breton--Canso--Antigonish,Allan MacMaster,Conservative,20870
12002,Cape Breton--Canso--Antigonish,Jaime Battiste,Liberal,24908
12002,Cape Breton--Canso--Antigonish,Joanna Clark,NDP-New Democratic Party,1930
12002,Cape Breton--Canso--Antigonish,Rebecca Wall,Independent,237
12002,Cape Breton--Canso--Antigonish,Ryan Smyth,People's Party - PPC,333
12003,Central Nova,Alexander MacKenzie,Independent,235
12003,Central Nova,Brycen Jenkins,Conservative,21465
12003,Central Nova,Charlie MacEachern,People's Party - PPC,331
12003,Central Nova,Gerald Romsa,Green Party,455
12003,Central Nova,Jesiah MacDonald,NDP-New Democratic Party,1649
12003,Central Nova,Sean Fraser,Liberal,26078
12004,Cumberland--Colchester,Alana Hirtle,Liberal,23929
12004,Cumberland--Colchester,Kelly-Ann Callaghan,Green Party,694
12004,Cumberland--Colchester,Larry Duchesne,NDP-New Democratic Party,1873
12004,Cumberland--Colchester,Paul Church,People's Party - PPC,333
12004,Cumberland--Colchester,Stephen Ellis,Conservative,22701
12005,Dartmouth--Cole Harbour,Darren Fisher,Liberal,40367
12005,Dartmouth--Cole Harbour,Isabelle Obeid,Conservative,13557
12005,Dartmouth--Cole Harbour,Joseph Shea,Libertarian,131
12005,Dartmouth--Cole Harbour,Keith Morrison,NDP-New Democratic Party,4201
12005,Dartmouth--Cole Harbour,Michelle Lindsay,People's Party - PPC,750
12005,Dartmouth--Cole Harbour,Rana Zaman,Green Party,628
12006,Halifax,Amethyste Hamel-Gregory,Green Party,422
12006,Halifax,Lisa Roberts,NDP-New Democratic Party,8642
12006,Halifax,Maricar Aliasut,People's Party - PPC,271
12006,Halifax,Mark Boudreau,Conservative,9939
12006,Halifax,Shannon Miedema,Liberal,32886
12007,Halifax West,Adam LeRue,People's Party - PPC,384
12007,Halifax West,Lena Metlege Diab,Liberal,36200
12007,Halifax West,Rae Tench,NDP-New Democratic Party,3083
12007,Halifax West,Rob Batherson,Conservative,15020
12007,Halifax West,Ron G. Parker,Green Party,497
12008,Kings--Hants,Alexander Cargill,People's Party - PPC,591
12008,Kings--Hants,Joel Hirtle,Conservative,19773
12008,Kings--Hants,Karen Beazley,Green Party,825
12008,Kings--Hants,Kody Blois,Liberal,35836
12008,Kings--Hants,Paul Doerr,NDP-New Democratic Party,2154
12009,Sackville--Bedford--Preston,Andre Anderson,Green Party,526
12009,Sackville--Bedford--Preston,Braedon Clark,Liberal,36062
12009,Sackville--Bedford--Preston,Dave Carroll,Conservative,18860
12009,Sackville--Bedford--Preston,Isaac Wilson,NDP-New Democratic Party,2324
12009,Sackville--Bedford--Preston,Ryan Slaney,People's Party - PPC,418
12010,South Shore--St. Margarets,Hayden Henderson,Independent,500
12010,South Shore--St. Margarets,Jessica Fancy-Landry,Liberal,27831
12010,South Shore--St. Margarets,Mark Embrett,Green Party,818
12010,South Shore--St. Margarets,Patrick Shea Boyd,People's Party - PPC,698
12010,South Shore--St. Margarets,Rick Perkins,Conservative,20864
12011,Sydney--Glace Bay,Anna Manley,Conservative,17978
12011,Sydney--Glace Bay,Chris Gallant,Canadian Future Party,169
12011,Sydney--Glace Bay,Jeffrey Evely,People's Party - PPC,589
12011,Sydney--Glace Bay,Joe Ward,Independent,601
12011,Sydney--Glace Bay,Kimberly Losier,NDP-New Democratic Party,1789
12011,Sydney--Glace Bay,Michael Pittman,Libertarian,189
12011,Sydney--Glace Bay,Mike Kelloway,Liberal,25766
12011,Sydney--Glace Bay,Nik Boisvert,Marxist-Leninist,85
13001,Acadie--Bathurst,James Brown,Conservative,12541
13001,Acadie--Bathurst,Randi Rachelle Raynard,People's Party - PPC,1043
