Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes,Vote Share (%)
10001,Avalon,Alexander Tilley,Parti Rhinocéros Party,230,0.5
10001,Avalon,Judy Vanta,NDP-New Democratic Party,2284,4.9
10001,Avalon,Paul Connors,Liberal,27563,58.6
10001,Avalon,Steve Kent,Conservative,16953,36.0
10002,Cape Spear,Brenda Walsh,NDP-New Democratic Party,2446,5.3
10002,Cape Spear,Corey Curtis,Conservative,11844,25.8
10002,Cape Spear,Kaelem Tingate,Green Party,140,0.3
10002,Cape Spear,Mike Peach,Animal Protection Party,170,0.4
10002,Cape Spear,Tom Osborne,Liberal,31388,68.3
10003,Central Newfoundland,Clifford Small,Conservative,21975,54.1
10003,Central Newfoundland,Darian Vincent,NDP-New Democratic Party,965,2.4
10003,Central Newfoundland,Lynette Powell,Liberal,17696,43.5
10004,Labrador,Ella Wallace,Conservative,4709,41.7
10004,Labrador,Marius Normore,NDP-New Democratic Party,764,6.8
10004,Labrador,Philip Earle,Liberal,5811,51.5
10005,Long Range Mountains,Carol Anstey,Conservative,23232,50.3
10005,Long Range Mountains,Don Bradshaw,Liberal,19726,42.7
10005,Long Range Mountains,Pamela Geiger,People's Party - PPC,537,1.2
10005,Long Range Mountains,Robbie Coles,Independent,637,1.4
10005,Long Range Mountains,Sarah Parsons,NDP-New Democratic Party,2011,4.4
10006,St. John's East,David Brazil,Conservative,11941,25.9
10006,St. John's East,Joanne Thompson,Liberal,28681,62.3
10006,St. John's East,Mary Shortall,NDP-New Democratic Party,5172,11.2
10006,St. John's East,Otis Crandell,Green Party,159,0.3
10006,St. John's East,Samuel Crête,Communist,98,0.2
10007,Terra Nova--The Peninsulas,Anthony Germain,Liberal,19593,47.9
10007,Terra Nova--The Peninsulas,Jonathan Rowe,Conservative,19605,48.0
10007,Terra Nova--The Peninsulas,Liam Ryan,NDP-New Democratic Party,1677,4.1
11001,Cardigan,Adam Harding,People's Party - PPC,180,0.7
11001,Cardigan,James Aylward,Conservative,9442,37.4
11001,Cardigan,Kent MacDonald,Liberal,14404,57.0
11001,Cardigan,Lynne Thiele,NDP-New Democratic Party,505,2.0
11001,Cardigan,Maria Rodriguez,Green Party,326,1.3
11001,Cardigan,Wayne Phelan,Independent,404,1.6
11002,Charlottetown,Daniel Cousins,Green Party,257,1.2
11002,Charlottetown,Joe Byrne,NDP-New Democratic Party,906,4.3
11002,Charlottetown,Natalie Jameson,Conservative,6139,29.1
11002,Charlottetown,Robert Lucas,People's Party - PPC,131,0.6
11002,Charlottetown,Sean Casey,Liberal,13656,64.8
11003,Egmont,Bobby Morrissey,Liberal,12466,51.9
11003,Egmont,Carol Rybinski,NDP-New Democratic Party,585,2.4
11003,Egmont,Logan McLellan,Conservative,10419,43.4
11003,Egmont,Ranald MacFarlane,Green Party,538,2.2
11004,Malpeque,Anna Keenan,Green Party,1049,3.9
11004,Malpeque,Cassie Mackay,NDP-New Democratic Party,371,1.4
11004,Malpeque,Heath MacDonald,Liberal,15485,57.6
11004,Malpeque,Hilda Baughan,People's Party - PPC,132,0.5
11004,Malpeque,Jamie Fox,Conservative,9846,36.6
12001,Acadie--Annapolis,Chris d'Entremont,Conservative,23024,47.7
12001,Acadie--Annapolis,Ingrid Deon,NDP-New Democratic Party,1768,3.7
12001,Acadie--Annapolis,James Strange,People's Party - PPC,432,0.9
12001,Acadie--Annapolis,Matthew Piggott,Green Party,583,1.2
12001,Acadie--Annapolis,Ronnie LeBlanc,Liberal,22491,46.6
12002,Cape Breton--Canso--Antigonish,Allan MacMaster,Conservative,20870,43.2
12002,Cape Breton--Canso--Antigonish,Jaime Battiste,Liberal,24908,51.6
12002,Cape Breton--Canso--Antigonish,Joanna Clark,NDP-New Democratic Party,1930,4.0
